commands;label
lights start;light on
strt light;light on
paani garam kro;geyser on
heat bath water;geyser on
Turn on d geyser;geyser on
Plz turn on d geyser;geyser on
Plzz trn on the geyser;geyser on
start geyser;geyser on
strt gyser;geyser on
plz trn on the fan;fan on
fan on kr do;fan on
fan ko on kr do bhai;fan on
kripya krke fan chalu kr dijie;fan on
on fan;fan on
fan chalu kr dijie;fan on
fan shuru kr dijie;fan on
turn on the fan;fan on
fan on;fan on
pankha chalu kr dijie;fan on
pnkha on kr de;fan on
pankha shuru kro;fan on
pankha shuru;fan on
plz trn off the fan;fan off
fan off kr do;fan off
please fan ko off kar do;fan off
fan band kr dijie;fan off
pankha band kr dijie;fan off
pankha band;fan off
pankha band ho ja;fan off
fan off;fan off
off fan;fan off
please off the fan;fan off
fan off kr dijie;fan off
fan bnd kro;fan off
pankha bnd kro;fan off
pnkha off kro;fan off
off kro pankhe ko;fan off
band kro pnkhe ko;fan off
pnkha bnd;fan off
pankha band ho jae;fan off
plz trn on the tv;tv on
tv on kr do;tv on
television ko on kr do bhai;tv on
kripya krke tv chalu kr dijie;tv on
on television;tv on
tv chalu kr dijie;tv on
television shuru kr dijie;tv on
turn on the tv;tv on
Tv on;tv on
televijon chalu kr dijie;tv on
tlvjn on kr de;tv on
tlbjn shuru kro;tv on
tlbjn shuru;tv on
plz trn off the tv;tv off
tv off kr do;tv off
please television ko off kar do;tv off
tv band kr dijie;tv off
tlbjn band kr dijie;tv off
tlvzn band;tv off
tlbjn band ho ja;tv off
television off;tv off
off televizion;tv off
please off the tv;tv off
tlvsn off kr dijie;tv off
tlbsn bnd kro;tv off
television bnd kro;tv off
tv off kro;tv off
off kro telvsn ko;tv off
band kro televsn ko;tv off
telvsn bnd;tv off
telvsn band ho jae;tv off
plz trn on the ac;ac on
aircon on kr do;ac on
ac ko on kr do bhai;ac on
kripya krke aircon chalu kr dijie;ac on
on vatanukulak;ac on
vaatanukulak chalu kr dijie;ac on
vtnukulak shuru kr dijie;ac on
turn on the ac;ac on
air cnditnr on;ac on
air con chalu kr dijie;ac on
air conditioner on kr de;ac on
ac shuru kro;ac on
vtnukulk shuru;ac on
plz trn off the ac;ac off
ac off kr do;ac off
please air conditioner ko off kar do;ac off
vtnukulk band kr dijie;ac off
vatanukulak band kr dijie;ac off
Air con band;ac off
Air conditioner band ho ja;ac off
ac off;ac off
off aircon;ac off
please off the ac;ac off
Air con off kr dijie;ac off
air cnditnr bnd kro;ac off
air cnditnr bnd kro;ac off
ac off kro;ac off
off kro air cndtnr ko;ac off
band kro air conditioner ko;ac off
aircon bnd;ac off
ac band ho jae;ac off
fanwa off kara ho;fan off
fanwa band kara ho;fan off
favwa band kar dae;fan off
fanwa band kar;fan off
pankha off kara ho;fan off
pankhawa band kar dae;fan off
fanwa on kara ho;fan on
fanwa chalava ho;fan on
fanwa chala dae;fan on
fanwa chalu kara ho;fan on
pankha chalu kar dae;fan on
pankha on kara ho;fan on
pankhawa chalu kar dae;fan on
fan chalao;fan on
pankhawa chalao;fan on
tv on kara ho;tv on
tv chalawa ho;tv on
tiviya chala dae;tv on
tiviya chalu kar dae;tv on
tiviya on kara ho;tv on
tiviya chalu kar dae;tv on
tv chalao;tv on
tiviya chalao;tv on
tv off kara ho;tv off
tv band kara ho;tv off
tiviya band dae;tv off
tiviya band kar dae;tv off
tiviya off kara ho;tv off
tiviya off kar dae;tv off
tv band kar;tv off
tiviya band kar;tv off
ac on kara ho;ac on
ac chalawa ho;ac on
ac chala dae;ac on
ac on kara ho;ac on
ac chalu kar dae;ac on
ac chalao;ac on
aciya on kar;ac on
aciya chalao;ac on
aciya chalu kar;ac on
ac off kara ho;ac off
ac band ho;ac off
ac band kar dae;ac off
ac off kara ho;ac off
ac off kar dae;ac off
ac band karo;ac off
aciya off kar;ac off
aciya band;ac off
aciya band kar;ac off
